date	time	username	to	replies	retweets	favorites	text	mentions	hashtags	id	permalink	processed_text	sentences_tone	document_tones	sadness	confident	joy	analytical	anger	tentative	fear
2020-05-18	01:47:15	HarshRa86416659		0	0	0	Entire nation needs a constructive war against corona with immense production and precaution. #AatamnirbharBharat		#AatamnirbharBharat	1262198029714513920	https://twitter.com/HarshRa86416659/status/1262198029714513920	entire nation need constructive war corona immense production precaution aatamnirbharbharat		[{'score': 0.944551, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.618451, 'tone_id': 'confident', 'tone_name': 'Confident'}]		1.0		1.0			
2020-05-18	01:57:43	realshwetaM		1	1	4	https://youtu.be/BdeS8DNIjzk Please Listen to this poem on Migrant Labour’s . You will end up crying.#Lockdown4 #lockdown4guidelines #MigrantWorkers #MigrantLabourersDying #LaboursInLockdown #Lockdownextention #COVID__19 #India #IndiaFightsCorona #Corona #CoronaUpdatesInIndia		#Lockdown4 #lockdown4guidelines #MigrantWorkers #MigrantLabourersDying #LaboursInLockdown #Lockdownextention #COVID__19 #India #IndiaFightsCorona #Corona #CoronaUpdatesInIndia	1262200665872519169	https://twitter.com/realshwetaM/status/1262200665872519169	URL please listen poem migrant end cry lockdown4 lockdown4guidelines migrantworkers migrantlabourersdying laboursinlockdown lockdownextention covid__19 india indiafightscorona corona coronaupdatesinindia		[{'score': 0.605589, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]	1.0						
2020-05-18	02:06:42	MintuAlam15		0	0	0	#Mother_Is_My_Mother Coronavirus Grameenphone is doing one of the best ads @Kuwait City https://www.instagram.com/p/CAT9OgBg8hR/?igshid=m9f0bzxikmq5		#Mother_Is_My_Mother	1262202924391956487	https://twitter.com/MintuAlam15/status/1262202924391956487	mother_is_my_mother coronavirus grameenphone one best ad USER_MENTION city URL		[{'score': 0.80813, 'tone_id': 'joy', 'tone_name': 'Joy'}]			1.0				
2020-05-18	03:47:54	PuhupPatel	SachinP48775301	0	2	4	If any prisoners get corona positive in jail. Who will be responsible for their Life. Sant Shri Asharamji Bapu is kept in jail without any Proved Evidence. So it's the duty of Rajasthan govt. To release immediately to Innocent Hindu Saint. #SavePrisoners_GrantParole		#SavePrisoners_GrantParole	1262228394206539776	https://twitter.com/PuhupPatel/status/1262228394206539776	prisoner get corona positive jail responsible life sant shri asharamji bapu kept jail without proved evidence duty rajasthan govt release immediately innocent hindu saint saveprisoners_grantparole		[{'score': 0.531795, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.511077, 'tone_id': 'anger', 'tone_name': 'Anger'}]	1.0				1.0		
2020-05-18	03:55:07	genobkk		0	0	0	China confirms unauthorised labs were told to destroy early coronavirus samples https://bit.ly/3bAhHiw			1262230207689187330	https://twitter.com/genobkk/status/1262230207689187330	china confirms unauthorised lab told destroy early coronavirus sample URL		[{'score': 0.658328, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]				1.0	1.0		
2020-05-18	04:07:07	Kashina93479752		0	0	0	Resp.madam.there is not a single word for help of gps.allover country who r first victim to face corona.give them financial help or supply with gadguts for fighting corona.these GPS number in lackcs.			1262233228275933184	https://twitter.com/Kashina93479752/status/1262233228275933184	resp.madam.there single word help gps.allover country r first victim face corona.give financial help supply gadguts fighting corona.these gps number lackcs	[{'sentence_id': 0, 'text': 'resp.madam.there', 'tones': []}, {'sentence_id': 1, 'text': 'single word help gps.allover', 'tones': []}, {'sentence_id': 2, 'text': 'country r first victim face corona.give', 'tones': [{'score': 0.53708, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 3, 'text': 'financial help supply gadguts fighting corona.these', 'tones': []}, {'sentence_id': 4, 'text': 'gps number lackcs', 'tones': [{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]	[]							
2020-05-18	04:10:19	MonikaGupta0107	academic4nation	0	2	9	Commendable initiative during the times of Corona... #IndiaFightsCorona #education #EducationWithoutExclusion @ugc_india @PMOIndia	@ugc_india @PMOIndia	#IndiaFightsCorona #education #EducationWithoutExclusion	1262234032256892928	https://twitter.com/MonikaGupta0107/status/1262234032256892928	commendable initiative time corona indiafightscorona education educationwithoutexclusion USER_MENTION USER_MENTION		[]							
2020-05-18	04:34:41	Shalinisingh315		0	1	1	If any prisoners get corona positive in jail. Who will be responsible for their Life. Sant Shri Asharamji Bapu is kept in jail without any Proved Evidence. So it's the duty of Rajasthan govt. To release immediately to Innocent Hindu Saint. #SavePrisoners_GrantParole		#SavePrisoners_GrantParole	1262240166678167553	https://twitter.com/Shalinisingh315/status/1262240166678167553	prisoner get corona positive jail responsible life sant shri asharamji bapu kept jail without proved evidence duty rajasthan govt release immediately innocent hindu saint saveprisoners_grantparole		[{'score': 0.531795, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.511077, 'tone_id': 'anger', 'tone_name': 'Anger'}]	1.0				1.0		
2020-05-18	04:45:01	michaelteoh		0	0	0	I will see you all at 8.30 pm tonight, as we answer the question: How can We Pivot the Fastest Post COVID-19 Now? @Putrajaya, Wilayah Persekutuan, Malaysia https://www.instagram.com/p/CAUPaiRpcTA/?igshid=1e06dutnlndzh			1262242767951912960	https://twitter.com/michaelteoh/status/1262242767951912960	see pm tonight answer question pivot fastest post covid19 USER_MENTION wilayah persekutuan malaysia URL		[{'score': 0.93884, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]				1.0			
2020-05-18	05:31:36	reviveramesh		0	0	0	The pink and blue elephants are truly comfortable in the over growth thanks to lockdown, hardly ant human tramps, the wild flowers and grass is greener and richer. They look happy. @Little India https://www.instagram.com/p/CAUUvsxn2D8/?igshid=4h0kl7g7qwlj			1262254488297050112	https://twitter.com/reviveramesh/status/1262254488297050112	pink blue elephant truly comfortable growth thanks lockdown hardly ant human tramp wild flower grass greener richer look happy USER_MENTION india URL		[{'score': 0.941932, 'tone_id': 'joy', 'tone_name': 'Joy'}]			1.0				
